gene,category,n_residues,baseline_tm,n_blind,n_oracle,n_oracle_bridge,BLIND_ens_max_tm_state2,BLIND_ens_min_rmsd_state2,BLIND_dual_state_covered,ORACLE_ens_max_tm_state2,ORACLE_ens_min_rmsd_state2,ORACLE_dual_state_covered
REV,foldswitch,378,0.049440708795395916,60,94,34,0.08008684207997065,4.117849440519152,False,0.3937293643862768,1.2209639574296576,False
HBA1,foldswitch,148,0.12070954168126422,60,94,34,0.16942067298883717,12.340426789726772,False,0.6858696138710567,3.1698929965447875,True
CLIC1,foldswitch,226,0.11140782749790498,60,94,34,0.11311585935800965,16.79933219568413,False,0.6806416730170198,2.7530987108800504,True
PYP,foldswitch,141,0.3790599980102669,60,89,29,0.4483545780398659,11.19763698345028,False,0.9661759571881458,0.8125465537432485,True
NOVA1,foldswitch,379,0.12011520937730823,60,93,33,0.12037935998799974,14.299122791324564,False,0.8983188450324977,1.2110917045412812,True
CASP7,foldswitch,232,0.12206506559331697,60,94,34,0.16486634188963717,12.867746403693943,False,0.9415815142137534,1.0148061577672682,True
CALM1,foldswitch,144,0.16791500942981524,60,93,33,0.24444560188229106,11.57058033666317,False,0.7022203331677868,3.078390090931802,True
T4L,foldswitch,162,0.9995705535829188,60,78,18,0.9995705535829186,0.09839726813193476,True,0.9999827798571573,0.019688002506554267,True
ABL1_MS,multistate,334,0.10289410354644121,80,126,46,0.12465591009800564,17.917203241726884,False,0.8210123169439312,1.835696928339388,True
EGFR_MS,multistate,289,0.31610941257598996,80,121,41,0.3332705383004742,12.403455957920137,False,0.9584736971977833,1.298071856465068,True
BRAF_MS,multistate,278,0.13999648784254895,80,125,45,0.1548763967611779,20.026853508704008,False,0.9083108181497904,2.006116769394684,True
INSR,multistate,97,0.19614805501163063,80,124,44,0.20142643011166902,11.214342411914929,False,0.9602197630219678,0.7451245627989487,True
RET,multistate,298,0.9628638874736684,80,108,28,0.9629801388459301,1.826171960902224,True,0.9987282655270675,0.22880061952153352,True
SRC_MS,multistate,449,0.19769202317403123,80,124,44,0.21805006009795658,22.84112506173558,False,0.8500872159024582,3.2813798227677298,True
PDGFRB,multistate,97,0.049459845214498255,80,126,46,0.06747969915152975,19.410014513635282,False,0.8527677482076402,1.4524794118149051,True
MET,multistate,280,0.1622444033758661,80,125,45,0.18122151806592898,14.2609056686621,False,0.8744884757831694,2.067646481084294,True
FLT3,multistate,298,0.9788896465044702,80,106,26,0.9817197332723978,0.9107645602381341,True,0.9817197332723978,0.9107645602381341,True
CSF1R,multistate,317,0.7840996260480687,80,112,32,0.7859634507054716,3.4409317213468045,True,0.9970509803641368,0.3398968062341128,True
VEGFR2,multistate,301,0.6720026919509794,80,113,33,0.6737172484453385,5.222738502577664,True,0.9011451802003588,2.152969346716228,True
AXL,multistate,270,0.20850888161277478,80,124,44,0.21879282350001464,15.981644632222393,False,0.9228344546061386,1.5367205692920851,True
PKA_MS,multistate,405,0.1269290362785006,80,125,45,0.13376624257231418,24.516920495357567,False,0.9201047522654033,2.0086923522866615,True
