gene,category,n_residues,n_common_residues,baseline_tm,tci,n_switch_contacts,n_bridge_confs,n_manifold_confs,A_v2_full_ens_max_tm_state2,A_v2_full_ens_min_rmsd_state2,A_v2_full_dual_state_covered,B_v3_full_ens_max_tm_state2,B_v3_full_ens_min_rmsd_state2,B_v3_full_dual_state_covered,E_v2plus_bridge_ens_max_tm_state2,E_v2plus_bridge_ens_min_rmsd_state2,E_v2plus_bridge_dual_state_covered
WAS,autoinhibited,107,59,0.05269521523625162,0.6131088461268561,18,36,12,0.05284069066957727,15.10968619488374,False,0.7107265955521661,1.8927533813196955,True,0.7107265955521661,1.8927533813196955,True
BRAF,autoinhibited,289,247,0.3227399810819206,0.6014109128827793,18,31,10,0.33446071582040254,12.803079577139902,False,0.8979921758763513,2.027178670756261,True,0.8979921758763513,2.027178670756261,True
JAK1,autoinhibited,281,252,0.156932288102506,0.6138446103337823,19,34,11,0.15974352657006471,19.184074959118814,False,0.9312078996854294,1.6346819011638276,True,0.9312078996854294,1.6346819011638276,True
KIT,autoinhibited,297,286,0.8527414033023324,0.6149142738624855,19,23,7,0.8572970398025876,5.420956721815866,True,0.9903188822202017,0.6210761508014597,True,0.9903188822202017,0.6210761508014597,True
FGFR1,autoinhibited,197,197,0.09909899334365285,0.5808440621693929,17,35,11,0.12803028750192133,19.557076458642072,False,0.8912711773535151,1.8773682106775675,True,0.8912711773535151,1.8773682106775675,True
AK1,autoinhibited,214,214,0.5647823511451634,0.5955994980939466,18,27,9,0.5844902039344312,6.766109460283879,True,0.9548570731305763,1.1945248412162548,True,0.9548570731305763,1.1945248412162548,True
PAK1,autoinhibited,70,70,0.08647611889200611,0.6350180530838407,20,35,11,0.11627923546628804,10.884181138620379,False,0.8699432483811237,1.1644744207574422,True,0.8699432483811237,1.1644744207574422,True
CSK,autoinhibited,246,108,0.08779409823364609,0.572060183074565,17,35,11,0.09106052916737796,16.587292909546598,False,0.907901026090435,1.2578242590447626,True,0.907901026090435,1.2578242590447626,True
ABL2,autoinhibited,394,175,0.07305765773713285,0.6060803257863823,19,35,11,0.07341141269749647,21.595465328992347,False,0.7980281496015125,2.595444966212957,True,0.7980281496015125,2.595444966212957,True
LYN,autoinhibited,125,124,0.11877984152664306,0.5810080836381588,17,34,11,0.15922134185218142,14.688883195166092,False,0.8441949226479005,1.8471966526595578,True,0.8441949226479005,1.8471966526595578,True
YES1,autoinhibited,171,106,0.10648948598464414,0.49033991297809776,13,34,11,0.13246453423590043,13.665209629033434,False,0.9174004126617376,1.163282274167839,True,0.9174004126617376,1.163282274167839,True
ITK,autoinhibited,245,245,0.11436214020870929,0.5368726549724356,16,34,11,0.14615675650620785,18.428302467082833,False,0.9203063796027433,1.7409782045129043,True,0.9203063796027433,1.7409782045129043,True
ZAP70,autoinhibited,310,208,0.09165805159893796,0.5668856916025681,16,35,11,0.10821575005271908,21.670982237883667,False,0.8676667683096747,2.1753488607518716,True,0.8676667683096747,2.1753488607518716,True
BTK,autoinhibited,268,157,0.10227519652216738,0.6172290886773003,19,35,11,0.12257202151655294,16.938254152970003,False,0.9473738191735573,1.1200078111910339,True,0.9473738191735573,1.1200078111910339,True
KAI_B,foldswitch,106,106,0.09449630725966666,0.5645875083724388,16,26,8,0.12131460321780357,14.300118613287937,False,0.9358846577864359,1.0057175785963244,True,0.9358846577864359,1.0057175785963244,True
XCL1,foldswitch,93,74,0.1367233513826189,0.5784674013228643,17,25,8,0.16198864386742381,10.370456028477635,False,0.7569722308941433,1.854097117412905,True,0.7569722308941433,1.854097117412905,True
RFAH,foldswitch,141,46,0.056294097368406744,0.5761074441697781,16,26,8,0.05651477880282679,11.893013227040653,False,0.6855211898009776,1.7235161180110878,True,0.6855211898009776,1.7235161180110878,True
MAD2,foldswitch,187,187,0.31698759977102275,0.60337957918943,19,23,7,0.3224442579090442,11.102498396228073,False,0.9026400201449317,1.7291563281099855,True,0.9026400201449317,1.7291563281099855,True
REV,foldswitch,378,23,0.049440708795395916,0.5394319550712736,14,26,8,0.08008684207997065,4.117849440519152,False,0.3937293643862768,1.2209639574296576,False,0.3937293643862768,1.2209639574296576,False
HBA1,foldswitch,148,142,0.12070954168126422,0.5887539000244105,19,26,8,0.16942067298883717,12.340426789726772,False,0.6858696138710567,3.1698929965447875,True,0.6858696138710567,3.1698929965447875,True
CLIC1,foldswitch,226,99,0.11140782749790498,0.6297293747795953,19,26,8,0.11311585935800965,16.79933219568413,False,0.6806416730170198,2.7530987108800504,True,0.6806416730170198,2.7530987108800504,True
PYP,foldswitch,141,125,0.3790599980102669,0.5234482414929491,14,22,7,0.4483545780398659,11.19763698345028,False,0.9661759571881458,0.8125465537432485,True,0.9661759571881458,0.8125465537432485,True
NOVA1,foldswitch,379,94,0.12011520937730823,0.5398244982179393,15,25,8,0.12037935998799974,14.299122791324564,False,0.8983188450324977,1.2110917045412812,True,0.8983188450324977,1.2110917045412812,True
CASP7,foldswitch,232,117,0.12206506559331697,0.6010569898413601,18,26,8,0.16486634188963717,12.867746403693943,False,0.9415815142137534,1.0148061577672682,True,0.9415815142137534,1.0148061577672682,True
CALM1,foldswitch,144,143,0.16791500942981524,0.6193856916025681,19,25,8,0.24444560188229106,11.57058033666317,False,0.7022203331677868,3.078390090931802,True,0.7022203331677868,3.078390090931802,True
T4L,foldswitch,162,162,0.9995705535829188,0.4247475773492265,8,14,4,0.9995705535829186,0.09839726813193476,True,0.9999827798571573,0.019688002506554267,True,0.9999827798571573,0.019688002506554267,True
ABL1_MS,multistate,334,103,0.10289410354644121,0.6054655175508508,18,35,11,0.12465591009800564,17.917203241726884,False,0.8210123169439312,1.835696928339388,True,0.8210123169439312,1.835696928339388,True
BRAF_MS,multistate,278,278,0.13999648784254895,0.5994993251319435,18,34,11,0.1548763967611779,20.026853508704008,False,0.9083108181497904,2.006116769394684,True,0.9083108181497904,2.006116769394684,True
INSR,multistate,97,97,0.19614805501163063,0.5475652453481058,15,33,11,0.20142643011166902,11.214342411914929,False,0.9602197630219678,0.7451245627989487,True,0.9602197630219678,0.7451245627989487,True
RET,multistate,298,298,0.9628638874736684,0.612648567375562,19,21,7,0.9629801388459301,1.826171960902224,True,0.9987282655270675,0.22880061952153352,True,0.9987282655270675,0.22880061952153352,True
SRC_MS,multistate,449,449,0.19769202317403123,0.5521506841114249,15,33,11,0.21805006009795658,22.84112506173558,False,0.8500872159024582,3.2813798227677298,True,0.8500872159024582,3.2813798227677298,True
PDGFRB,multistate,97,84,0.049459845214498255,0.5664911235799113,16,35,11,0.06747969915152975,19.410014513635282,False,0.8527677482076402,1.4524794118149051,True,0.8527677482076402,1.4524794118149051,True
MET,multistate,280,192,0.1622444033758661,0.5814149562361972,17,34,11,0.18122151806592898,14.2609056686621,False,0.8744884757831694,2.067646481084294,True,0.8744884757831694,2.067646481084294,True
FLT3,multistate,298,265,0.9788896465044702,0.5623601055413526,16,20,6,0.9817197332723978,0.9107645602381341,True,0.9817197332723978,0.9107645602381341,True,0.9817197332723978,0.9107645602381341,True
CSF1R,multistate,317,288,0.7840996260480687,0.5983433469136555,18,24,8,0.7859634507054716,3.4409317213468045,True,0.9970509803641368,0.3398968062341128,True,0.9970509803641368,0.3398968062341128,True
VEGFR2,multistate,301,295,0.6720026919509794,0.5580647001495029,16,25,8,0.6737172484453385,5.222738502577664,True,0.9011451802003588,2.152969346716228,True,0.9011451802003588,2.152969346716228,True
AXL,multistate,270,198,0.20850888161277478,0.5807614468446055,18,33,11,0.21879282350001464,15.981644632222393,False,0.9228344546061386,1.5367205692920851,True,0.9228344546061386,1.5367205692920851,True
PKA_MS,multistate,405,335,0.1269290362785006,0.582654401796475,17,34,11,0.13376624257231418,24.516920495357567,False,0.9201047522654033,2.0086923522866615,True,0.9201047522654033,2.0086923522866615,True
